ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
101,Tilia,"Pinot Noir, Vipava",Vipavska Dolina,Slovenija,2023,Rdeče,2,750,"13,00%",tilia-pinot-noir-vipava-2023-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€8,80","€13,96","11,99",3830021660153,40060002,tilia-pinot-noir-vipava-2023-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,EVino,Tilia,0060,002
102,Chateau Le Pey,Medoc,Bordeaux,Francija,2018,Rdeče,1,750,"14,00%",chateau-le-pey-medoc-2018-750ml,Rdeče,"Merlot,Cabernet Sauvignon,Cabernet Franc",0,,,,,,,,EVino,"€8,00","€12,69","10,99",3760292810479,40012001,chateau-le-pey-medoc-2018-750ml,"Rdeče,Bordeaux,Francija",checked,EVino,Chateau Le Pey,0012,001
103,M.Chapoutier,"Cotes du Rhone, Belleruche",Val de Rhone,Francija,2023,Rdeče,1,750,"14,50%",m.chapoutier-cotes-du-rhone-belleruche-2023-750ml,Rdeče,"Grenache,Syrah",0,,,,,,,,Koželj,"€6,78","€10,75","11,99",3391180024991,40037001,m.chapoutier-cotes-du-rhone-belleruche-2023-750ml,"Rdeče,Val de Rhone,Francija",checked,Koželj,M.Chapoutier,0037,001
104,Štoka,Izbrani Teran,Kras,Slovenija,2023,Rdeče,2,750,"12,00%",stoka-izbrani-teran-2023-750ml,Rdeče,Refosco,0,,,,,,,,Koželj,"€7,04","€11,17","11,99",3830019540016,40054002,stoka-izbrani-teran-2023-750ml,"Rdeče,Kras,Slovenija",checked,Koželj,Štoka,0054,002
105,Domaines Ott,Rose by Ott,Provence,Francija,2023,Rose,1,750,"13,00%",domaines-ott-rose-by-ott-2023-750ml,Rose,"Grenache,Cinsault,Syrah",0,,,,,,,,Koželj,"€13,63","€21,62","22,99",3383690002743,20018001,domaines-ott-rose-by-ott-2023-750ml,"Rose,Provence,Francija",checked,Koželj,Domaines Ott,0018,001
106,Oremus,Tokaji Aszu 3 Puttonyos,Tokaji,Madžarska,2017,Sladko,2,500,"12,00%",oremus-tokaji-aszu-3-puttonyos-2017-500ml,Sladko,Furmint,5,,,,,,,,EVino,"€33,40","€52,97","44,99",5998835033179,50046002,oremus-tokaji-aszu-3-puttonyos-2017-500ml,"Sladko,Tokaji,Madžarska",checked,EVino,Oremus,0046,002
107,Tua Rita,Sese Passito della Pantelleria,Toscana,Italija,2018,Sladko,2,500,"14,00%",tua-rita-sese-passito-della-pantelleria-2018-500ml,Sladko,Muscat of Alexandria,5,,,,,,,,EVino,"€27,50","€43,61","37,99",8033481320697,50063002,tua-rita-sese-passito-della-pantelleria-2018-500ml,"Sladko,Toscana,Italija",checked,EVino,Tua Rita,0063,002
108,Domaine Sparr,"Riesling, Altenbourg",Alsace,Francija,2022,Belo,2,750,"13,00%",domaine-sparr-riesling-altenbourg-2022-750ml,Belo,Riesling,1,,,,,,,,EVino,"€18,02","€28,58","28,99",3760112661397,30017002,domaine-sparr-riesling-altenbourg-2022-750ml,"Belo,Alsace,Francija",checked,EVino,Domaine Sparr,0017,002
109,Vietti,Roero Arneis,Piemonte,Italija,2023,Belo,3,750,"13,50%",vietti-roero-arneis-2023-750ml,Belo,Arneis,0,,,,,,,,EVino,"€13,52","€21,44","21,99",8030198002595,30065003,vietti-roero-arneis-2023-750ml,"Belo,Piemonte,Italija",checked,EVino,Vietti,0065,003
110,Pichler-Krutzler,"Gruner Veltliner, Klostersatz",Wachau,Avstrija,2023,Belo,2,750,"13,00%",pichler-krutzler-gruner-veltliner-klostersatz-2023-750ml,Belo,Gruner Veltliner,4,,,,,,,,EVino,"€16,66","€26,42","24,99",9120060173566,30049002,pichler-krutzler-gruner-veltliner-klostersatz-2023-750ml,"Belo,Wachau,Avstrija",checked,EVino,Pichler-Krutzler,0049,002
